1,Nintendo EAD,2006,Wii Sports,Sports,Wii,Nintendo
2,Nintendo EAD,1985,Super Mario Bros.,Platform,NES,Nintendo
3,Nintendo EAD,2008,Mario Kart Wii,Racing,Wii,Nintendo
4,PUBG Corporation,2017,PlayerUnknown's Battlegrounds,Shooter,PC,PUBG Corporation
5,Nintendo EAD,2009,Wii Sports Resort,Sports,Wii,Nintendo
6,Game Freak,1998,Pokemon Red / Green / Blue Version,Role-Playing,GB,Nintendo
7,Nintendo EAD,2006,New Super Mario Bros.,Platform,DS,Nintendo
8,Bullet Proof Software,1989,Tetris,Puzzle,GB,Nintendo
9,Nintendo EAD,2009,New Super Mario Bros. Wii,Platform,Wii,Nintendo
10,Mojang AB,2010,Minecraft,Misc,PC,Mojang
11,Nintendo R&D1,1985,Duck Hunt,Shooter,NES,Nintendo
12,Nintendo EAD,2007,Wii Play,Misc,Wii,Nintendo
13,Good Science Studio,2010,Kinect Adventures!,Party,X360,Microsoft Game Studios
14,Nintendo EAD,2005,Nintendogs,Simulation,DS,Nintendo
15,Nintendo EAD,2005,Mario Kart DS,Racing,DS,Nintendo
16,Game Freak,2000,Pokemon Gold / Silver Version,Role-Playing,GB,Nintendo
17,Nintendo EAD,2008,Wii Fit,Sports,Wii,Nintendo
18,Nintendo EAD,2009,Wii Fit Plus,Sports,Wii,Nintendo
19,Nintendo EAD,1991,Super Mario World,Platform,SNES,Nintendo
20,Rockstar North,2013,Grand Theft Auto V,Action,PS3,Rockstar Games
21,Rockstar North,2014,Grand Theft Auto V,Action,PS4,Rockstar Games
22,Nintendo SDD,2006,Brain Age: Train Your Brain in Minutes a Day,Misc,DS,Nintendo
23,Team Garry,2004,Garry's Mod,Misc,PC,Unknown
24,Nintendo R&D1,1989,Super Mario Land,Platform,GB,Nintendo
25,Nintendo EAD / Retro Studios,2011,Mario Kart 7,Racing,3DS,Nintendo
26,Game Freak,2007,Pokemon Diamond / Pearl Version,Role-Playing,DS,Nintendo
27,Rockstar North,2004,Grand Theft Auto: San Andreas,Action,PS2,Rockstar Games
28,Nintendo R&D2,1990,Super Mario Bros. 3,Platform,NES,Nintendo
29,Game Freak,2013,Pokemon X/Y,Role-Playing,3DS,Nintendo
30,Game Freak,2003,Pokemon Ruby / Sapphire Version,Role-Playing,GBA,Nintendo
31,Rockstar North,2002,Grand Theft Auto: Vice City,Action,PS2,Rockstar Games
32,Game Freak,2016,Pokemon Sun/Moon,Role-Playing,3DS,Nintendo
33,Rockstar North,2013,Grand Theft Auto V,Action,X360,Rockstar Games
34,Game Freak,2011,Pokemon Black / White Version,Role-Playing,DS,Nintendo
35,Treyarch,2015,Call of Duty: Black Ops 3,Shooter,PS4,Activision
36,Nintendo EPD,2017,Mario Kart 8 Deluxe,Racing,NS,Nintendo
37,Valve Software,2004,Counter-Strike: Source,Shooter,PC,VU Games
38,Sonic Team,1991,Sonic the Hedgehog,Platform,GEN,Sega
39,Polyphony Digital,2001,Gran Turismo 3: A-Spec,Racing,PS2,Sony Computer Entertainment
40,Nintendo SDD,2007,Brain Age 2: More Training in Minutes a Day,Misc,DS,Nintendo
41,Infinity Ward,2011,Call of Duty: Modern Warfare 3,Shooter,X360,Activision
42,Treyarch,2010,Call of Duty: Black Ops,Shooter,X360,Activision
43,Game Freak,1999,Pokemon Yellow: Special Pikachu Edition,Role-Playing,GB,Nintendo
44,Bungie Studios,2007,Halo 3,Shooter,X360,Microsoft Game Studios
45,Game Freak,2014,Pokemon Omega Ruby/Pokemon Alpha Sapphire,Role-Playing,3DS,Nintendo
46,Rockstar Games,2018,Red Dead Redemption 2,Action-Adventure,PS4,Rockstar Games
47,Treyarch,2012,Call of Duty: Black Ops II,Shooter,X360,Activision
48,Treyarch,2012,Call of Duty: Black Ops II,Shooter,PS3,Activision
49,Nintendo EPD,2017,Super Mario Odyssey,Platform,NS,Nintendo
50,Infinity Ward,2009,Call of Duty: Modern Warfare 2,Shooter,X360,Activision
51,Sledgehammer Games,2017,Call of Duty: WWII,Shooter,PS4,Activision
52,Infinity Ward,2011,Call of Duty: Modern Warfare 3,Shooter,PS3,Activision
53,Project Sora,2008,Super Smash Bros. Brawl,Fighting,Wii,Nintendo
54,DMA Design,2001,Grand Theft Auto III,Action,PS2,Rockstar Games
55,Nintendo,2012,New Super Mario Bros. 2,Platform,3DS,Nintendo
56,Valve Software,2011,Portal 2,Shooter,PC,Valve
57,Mojang,2013,Minecraft,Misc,X360,Microsoft Studios
58,Nintendo EAD Tokyo,2007,Super Mario Galaxy,Platform,Wii,Nintendo
59,Game Freak,2010,Pokemon Heart Gold / Soul Silver Version,Role-Playing,DS,Nintendo
60,Treyarch,2010,Call of Duty: Black Ops,Shooter,PS3,Activision
61,Rockstar North,2015,Grand Theft Auto V,Action,PC,Rockstar Games
62,Nintendo EAD Tokyo,2011,Super Mario 3D Land,Platform,3DS,Nintendo
63,Nintendo EAD,2013,Animal Crossing: New Leaf,Simulation,3DS,Nintendo
64,Bandai Namco Games,2018,Super Smash Bros. Ultimate,Fighting,NS,Nintendo
65,Blizzard Entertainment,2012,Diablo III,Role-Playing,PC,Blizzard Entertainment
66,Game Freak,2004,Pokemon FireRed / LeafGreen Version,Role-Playing,GBA,Nintendo
67,Polyphony Digital,2010,Gran Turismo 5,Racing,PS3,Sony Computer Entertainment
68,Nintendo EAD,1996,Super Mario 64,Platform,N64,Nintendo
69,EA Vancouver,2017,FIFA 18,Sports,PS4,EA Sports
70,Polyphony Digital,2005,Gran Turismo 4,Racing,PS2,Sony Computer Entertainment
71,Nintendo EAD,2005,Animal Crossing: Wild World,Simulation,DS,Nintendo
72,Nintendo EPD,2017,The Legend of Zelda: Breath of the Wild,Action-Adventure,NS,Nintendo
73,Nintendo R&D1,1992,Super Mario Land 2: 6 Golden Coins,Platform,GB,Nintendo
74,Rockstar North,2008,Grand Theft Auto IV,Action,X360,Rockstar Games
75,Nintendo EAD,2004,Super Mario 64 DS,Platform,DS,Nintendo
76,Re-Logic,2011,Terraria,Platform,PC,Unknown
77,EA Canada,2016,FIFA 17,Sports,PS4,Electronic Arts
78,Polyphony Digital,1998,Gran Turismo,Racing,PS,Sony Computer Entertainment
79,Infinity Ward,2009,Call of Duty: Modern Warfare 2,Shooter,PS3,Activision
80,Rockstar North,2008,Grand Theft Auto IV,Action,PS3,Rockstar Games
81,Nintendo EAD,1993,Super Mario All-Stars,Platform,SNES,Nintendo
82,Infinity Ward,2013,Call of Duty: Ghosts,Shooter,X360,Activision
83,Ubisoft Paris,2011,Just Dance 3,Misc,Wii,Ubisoft
84,Infinity Ward,2013,Call of Duty: Ghosts,Shooter,PS3,Activision
85,Guerrilla Games,2017,Horizon: Zero Dawn,Action,PS4,Sony Interactive Entertainment
86,Game Freak,2018,"Pokemon: Let's Go, Pikachu/Eevee",Role-Playing,NS,Nintendo
87,Frontier Developments,2004,RollerCoaster Tycoon 3,Strategy,PC,Atari
88,Bungie,2010,Halo: Reach,Shooter,X360,Microsoft Game Studios
89,Valve Software,2008,Portal,Shooter,PC,Valve Corporation
90,343 Industries,2012,Halo 4,Shooter,X360,Microsoft Studios
91,SquareSoft,1997,Final Fantasy VII,Role-Playing,PS,Sony Computer Entertainment
