salesRank,globalShipped
1,82.9
2,40.2
3,37.1
4,36.6
5,33.1
6,31.4
7,30.8
8,30.3
9,30.2
10,30.0
11,28.3
12,28.0
13,24.0
14,24.0
15,23.6
16,23.1
17,22.7
18,21.1
19,20.6
20,20.3
21,19.4
22,19.0
23,18.6
24,18.1
25,18.1
26,17.7
27,17.3
28,17.3
29,16.4
30,16.2
31,16.2
32,16.1
33,15.9
34,15.6
35,15.1
36,15.0
37,15.0
38,15.0
39,14.9
40,14.9
41,14.8
42,14.7
43,14.6
44,14.5
45,14.2
46,13.9
47,13.9
48,13.8
49,13.8
50,13.5
51,13.4
52,13.4
53,13.3
54,13.1
55,13.1
56,13.1
57,13.0
58,12.8
59,12.7
60,12.7
61,12.6
62,12.4
63,12.1
64,12.1
65,12.0
66,12.0
67,12.0
68,11.9
69,11.8
70,11.8
71,11.8
72,11.7
73,11.2
74,11.1
75,11.1
76,11.0
77,10.9
78,10.9
79,10.6
80,10.6
81,10.6
82,10.4
83,10.1
84,10.1
85,10.0
86,10.0
87,10.0
88,10.0
89,10.0
90,10.0
91,9.9
92,9.9
93,9.5
94,9.5
95,9.4
96,9.4
97,9.3
98,9.3
99,9.3
100,9.3
101,9.2
102,9.2
103,9.0
104,8.9
105,8.9
106,8.9
107,8.8
108,8.7
109,8.7
110,8.6
111,8.6
112,8.5
113,8.5
114,8.5
115,8.4
116,8.3
117,8.3
118,8.3
119,8.2
120,8.1
121,8.0
122,8.0
123,8.0
124,8.0
125,7.7
126,7.7
127,7.6
128,7.6
129,7.6
130,7.5
131,7.5
132,7.5
133,7.4
134,7.4
135,7.4
136,7.4
137,7.3
138,7.3
139,7.2
140,7.2
141,7.2
142,7.1
143,7.1
144,7.0
145,6.9
146,6.9
147,6.9
148,6.8
149,6.8
150,6.8
151,6.8
152,6.7
153,6.7
154,6.7
155,6.6
156,6.6
157,6.5
158,6.5
159,6.5
160,6.5
161,6.5
162,6.5
163,6.4
164,6.4
165,6.4
166,6.4
167,6.3
168,6.3
169,6.3
170,6.3
171,6.3
172,6.3
173,6.2
174,6.2
175,6.2
176,6.1
177,6.1
178,6.0
179,6.0
180,6.0
181,6.0
182,6.0
183,5.9
184,5.9
185,5.9
186,5.8
187,5.8
188,5.8
189,5.8
190,5.8
191,5.8
192,5.8
193,5.7
194,5.7
195,5.7
196,5.7
197,5.7
198,5.6
199,5.6
200,5.6
201,5.6
202,5.6
203,5.6
204,5.5
205,5.5
206,5.5
207,5.5
208,5.5
209,5.5
210,5.5
211,5.5
212,5.4
213,5.4
214,5.4
215,5.4
216,5.4
217,5.4
218,5.4
219,5.4
220,5.3
221,5.3
222,5.3
223,5.3
224,5.3
225,5.3
226,5.3
227,5.3
228,5.2
229,5.2
230,5.2
231,5.2
232,5.2
233,5.2
234,5.2
235,5.2
236,5.2
237,5.2
238,5.1
239,5.1
240,5.1
241,5.1
242,5.1
243,5.1
244,5.1
245,5.1
246,5.1
247,5.1
248,5.1
249,5.1
250,5.1
251,5.0
252,5.0
253,5.0
254,5.0
255,5.0
256,5.0
257,5.0
258,5.0
259,5.0
260,5.0
261,5.0
262,5.0
263,5.0
264,5.0
265,4.9
266,4.9
267,4.9
268,4.9
269,4.9
270,4.9
271,4.9
272,4.9
273,4.9
274,4.8
275,4.8
276,4.8
277,4.8
278,4.8
279,4.8
280,4.8
281,4.7
282,4.7
283,4.7
284,4.7
285,4.7
286,4.7
287,4.7
288,4.6
289,4.6
290,4.6
291,4.6
292,4.6
293,4.6
294,4.6
295,4.6
296,4.6
297,4.5
298,4.5
299,4.5
300,4.5
301,4.5
302,4.5
303,4.5
304,4.5
305,4.5
306,4.5
307,4.5
308,4.5
309,4.5
310,4.5
311,4.5
312,4.5
313,4.5
314,4.4
315,4.4
316,4.4
317,4.4
318,4.4
319,4.4
320,4.4
321,4.4
322,4.4
323,4.3
324,4.3
325,4.3
326,4.3
327,4.3
328,4.3
329,4.3
330,4.3
331,4.3
332,4.2
333,4.2
334,4.2
335,4.2
336,4.2
337,4.2
338,4.2
339,4.2
340,4.2
341,4.2
342,4.2
343,4.2
344,4.2
345,4.2
346,4.2
347,4.2
348,4.2
349,4.2
350,4.2
351,4.1
352,4.1
353,4.1
354,4.1
355,4.1
356,4.1
357,4.1
358,4.1
359,4.1
360,4.1
361,4.1
362,4.1
363,4.1
364,4.1
365,4.1
366,4.1
367,4.1
368,4.1
369,4.0
370,4.0
371,4.0
372,4.0
373,4.0
374,4.0
375,4.0
376,4.0
377,4.0
378,4.0
379,4.0
380,4.0
381,4.0
382,4.0
383,4.0
384,3.9
385,3.9
386,3.9
387,3.9
388,3.9
389,3.9
390,3.9
391,3.9
392,3.9
393,3.9
394,3.9
395,3.9
396,3.9
397,3.8
398,3.8
399,3.8
400,3.8
401,3.8
402,3.8
403,3.8
404,3.8
405,3.8
406,3.7
407,3.7
408,3.7
409,3.7
410,3.7
411,3.7
412,3.7
413,3.7
414,3.7
415,3.7
416,3.7
417,3.7
418,3.7
419,3.6
420,3.6
421,3.6
422,3.6
423,3.6
424,3.6
425,3.6
426,3.6
427,3.6
428,3.6
429,3.6
430,3.6
431,3.6
432,3.6
433,3.6
434,3.6
435,3.6
436,3.6
437,3.5
438,3.5
439,3.5
440,3.5
441,3.5
442,3.5
443,3.5
444,3.5
445,3.5
446,3.5
447,3.5
448,3.5
449,3.5
450,3.5
451,3.5
452,3.5
453,3.5
454,3.5
455,3.5
456,3.5
457,3.5
458,3.5
459,3.5
460,3.5
461,3.5
462,3.5
463,3.5
464,3.5
465,3.4
466,3.4
467,3.4
468,3.4
469,3.4
470,3.4
471,3.4
472,3.4
473,3.4
474,3.4
475,3.4
476,3.4
477,3.4
478,3.4
479,3.4
480,3.4
481,3.4
482,3.4
483,3.4
484,3.3
485,3.3
486,3.3
487,3.3
488,3.3
489,3.3
490,3.3
491,3.3
492,3.3
493,3.3
494,3.3
495,3.3
496,3.3
497,3.3
498,3.3
499,3.3
500,3.3
501,3.3
502,3.3
503,3.3
504,3.3
505,3.3
506,3.3
507,3.2
508,3.2
509,3.2
510,3.2
511,3.2
512,3.2
513,3.2
514,3.2
515,3.2
516,3.2
517,3.2
518,3.2
519,3.2
520,3.2
521,3.2
522,3.2
523,3.2
524,3.1
525,3.1
526,3.1
527,3.1
528,3.1
529,3.1
530,3.1
531,3.1
532,3.1
533,3.1
534,3.1
535,3.1
536,3.1
537,3.1
538,3.1
539,3.1
540,3.1
541,3.1
542,3.1
543,3.1
544,3.1
545,3.1
546,3.1
547,3.1
548,3.1
549,3.1
550,3.0
551,3.0
552,3.0
553,3.0
554,3.0
555,3.0
556,3.0
557,3.0
558,3.0
559,3.0
560,3.0
561,3.0
562,3.0
563,3.0
564,3.0
565,3.0
566,3.0
567,3.0
568,3.0
569,3.0
570,3.0
571,3.0
572,3.0
573,3.0
574,3.0
575,3.0
576,3.0
577,3.0
578,3.0
579,3.0
580,3.0
581,3.0
582,3.0
583,3.0
584,3.0
585,2.9
586,2.9
587,2.9
588,2.9
589,2.9
590,2.9
591,2.9
592,2.9
593,2.9
594,2.9
595,2.9
596,2.9
597,2.9
598,2.9
599,2.9
600,2.9
601,2.9
602,2.9
603,2.9
604,2.9
605,2.9
606,2.9
607,2.9
608,2.9
609,2.9
610,2.9
611,2.9
612,2.9
613,2.9
614,2.9
615,2.9
616,2.9
617,2.9
618,2.9
619,2.8
620,2.8
621,2.8
622,2.8
623,2.8
624,2.8
625,2.8
626,2.8
627,2.8
628,2.8
629,2.8
630,2.8
631,2.8
632,2.8
633,2.8
634,2.8
635,2.8
636,2.8
637,2.8
638,2.8
639,2.8
640,2.8
641,2.8
642,2.8
643,2.8
644,2.8
645,2.8
646,2.8
647,2.8
648,2.8
649,2.8
650,2.8
651,2.8
652,2.7
653,2.7
654,2.7
655,2.7
656,2.7
657,2.7
658,2.7
659,2.7
660,2.7
661,2.7
662,2.7
663,2.7
664,2.7
665,2.7
666,2.7
667,2.7
668,2.7
669,2.7
670,2.7
671,2.7
672,2.7
673,2.7
674,2.7
675,2.7
676,2.7
677,2.7
678,2.7
679,2.7
680,2.7
681,2.7
682,2.7
683,2.7
684,2.7
685,2.7
686,2.6
687,2.6
688,2.6
689,2.6
690,2.6
691,2.6
692,2.6
693,2.6
694,2.6
695,2.6
696,2.6
697,2.6
698,2.6
699,2.6
700,2.6
701,2.6
702,2.6
703,2.6
704,2.6
705,2.6
706,2.6
707,2.6
708,2.6
709,2.6
710,2.6
711,2.6
712,2.6
713,2.6
714,2.6
715,2.6
716,2.6
717,2.6
718,2.6
719,2.5
720,2.5
721,2.5
722,2.5
723,2.5
724,2.5
725,2.5
726,2.5
727,2.5
728,2.5
729,2.5
730,2.5
731,2.5
732,2.5
733,2.5
734,2.5
735,2.5
736,2.5
737,2.5
738,2.5
739,2.5
740,2.5
741,2.5
742,2.5
743,2.5
744,2.5
745,2.5
746,2.5
747,2.5
748,2.5
749,2.5
750,2.5
751,2.5
752,2.5
753,2.5
754,2.5
755,2.5
756,2.5
757,2.5
758,2.5
759,2.4
760,2.4
761,2.4
762,2.4
763,2.4
764,2.4
765,2.4
766,2.4
767,2.4
768,2.4
769,2.4
770,2.4
771,2.4
772,2.4
773,2.4
774,2.4
775,2.4
776,2.4
777,2.4
778,2.4
779,2.4
780,2.4
781,2.4
782,2.4
783,2.4
784,2.4
785,2.4
786,2.4
787,2.4
788,2.4
789,2.4
790,2.4
791,2.4
792,2.4
793,2.4
794,2.4
795,2.4
796,2.4
797,2.4
798,2.4
799,2.4
800,2.4
801,2.4
802,2.4
803,2.4
804,2.4
805,2.4
806,2.4
807,2.4
808,2.4
809,2.4
810,2.4
811,2.4
812,2.4
813,2.4
814,2.4
815,2.3
816,2.3
817,2.3
818,2.3
819,2.3
820,2.3
821,2.3
822,2.3
823,2.3
824,2.3
825,2.3
826,2.3
827,2.3
828,2.3
829,2.3
830,2.3
831,2.3
832,2.3
833,2.3
834,2.3
835,2.3
836,2.3
837,2.3
838,2.3
839,2.3
840,2.3
841,2.3
842,2.3
843,2.3
844,2.3
845,2.3
846,2.3
847,2.3
848,2.3
849,2.3
850,2.3
851,2.3
852,2.3
853,2.3
854,2.3
855,2.3
856,2.3
857,2.3
858,2.3
859,2.3
860,2.3
861,2.2
862,2.2
863,2.2
864,2.2
865,2.2
866,2.2
867,2.2
868,2.2
869,2.2
870,2.2
871,2.2
872,2.2
873,2.2
874,2.2
875,2.2
876,2.2
877,2.2
878,2.2
879,2.2
880,2.2
881,2.2
882,2.2
883,2.2
884,2.2
885,2.2
886,2.2
887,2.2
888,2.2
889,2.2
890,2.2
891,2.2
892,2.2
893,2.2
894,2.2
895,2.2
896,2.2
897,2.2
898,2.2
899,2.2
900,2.2
901,2.2
902,2.2
903,2.2
904,2.2
905,2.2
906,2.2
907,2.2
908,2.2
909,2.2
910,2.2
911,2.2
912,2.2
913,2.2
914,2.2
915,2.2
916,2.2
917,2.2
918,2.2
919,2.1
920,2.1
921,2.1
922,2.1
923,2.1
924,2.1
925,2.1
926,2.1
927,2.1
928,2.1
929,2.1
930,2.1
931,2.1
932,2.1
933,2.1
934,2.1
935,2.1
936,2.1
937,2.1
938,2.1
939,2.1
940,2.1
941,2.1
942,2.1
943,2.1
944,2.1
945,2.1
946,2.1
947,2.1
948,2.1
949,2.1
950,2.1
951,2.1
952,2.1
953,2.1
954,2.1
955,2.1
956,2.1
957,2.1
958,2.1
959,2.1
960,2.1
961,2.1
962,2.1
963,2.1
964,2.1
965,2.1
966,2.1
967,2.1
968,2.1
969,2.1
970,2.1
971,2.1
972,2.1
973,2.1
974,2.1
975,2.1
976,2.1
977,2.1
978,2.1
979,2.1
980,2.1
981,2.0
982,2.0
983,2.0
984,2.0
985,2.0
986,2.0
987,2.0
988,2.0
989,2.0
990,2.0
991,2.0
992,2.0
993,2.0
994,2.0
995,2.0
996,2.0
997,2.0
998,2.0
999,2.0
1000,2.0
1001,2.0
1002,2.0
1003,2.0
1004,2.0
1005,2.0
1006,2.0
1007,2.0
1008,2.0
1009,2.0
1010,2.0
1011,2.0
1012,2.0
1013,2.0
1014,2.0
1015,2.0
1016,2.0
1017,2.0
1018,2.0
1019,2.0
1020,2.0
1021,2.0
1022,2.0
1023,2.0
1024,2.0
1025,2.0
1026,2.0
1027,2.0
1028,2.0
1029,2.0
1030,2.0
1031,2.0
1032,2.0
1033,2.0
1034,2.0
1035,2.0
1036,2.0
1037,2.0
1038,2.0
1039,2.0
1040,2.0
1041,2.0
1042,2.0
1043,2.0
1044,2.0
1045,2.0
1046,2.0
1047,2.0
1048,2.0
1049,2.0
1050,1.9
1051,1.9
1052,1.9
1053,1.9
1054,1.9
1055,1.9
1056,1.9
1057,1.9
1058,1.9
1059,1.9
1060,1.9
1061,1.9
1062,1.9
1063,1.9
1064,1.9
1065,1.9
1066,1.9
1067,1.9
1068,1.9
1069,1.9
1070,1.9
1071,1.9
1072,1.9
1073,1.9
1074,1.9
1075,1.9
1076,1.9
1077,1.9
1078,1.9
1079,1.9
1080,1.9
1081,1.9
1082,1.9
1083,1.9
1084,1.9
1085,1.9
1086,1.9
1087,1.9
1088,1.9
1089,1.9
